exercise_id,display_name,instructions
EX014,Standing Kettlebell Calf Raise,"Step 1: Hold a kettlebell in one hand at your side.
Step 2: Let your heels drop below platform level for a stretch.
Step 3: Push through the balls of your feet to rise as high as possible.
Step 4: Lower your heels with control below the platform for a full stretch."
EX015,Single Leg Dumbbell Calf Raise,"Step 1: Hold a dumbbell in the hand on the same side as your working leg.
Step 2: Lift your non-working foot off the ground.
Step 3: Push through the ball of your foot to rise as high as possible on one leg.
Step 4: Lower your heel slowly below the step for a complete stretch."
EX016,Single Leg Kettlebell Calf Raise,"Step 1: Hold a kettlebell in one hand on the same side as your working leg.
Step 2: Lift your non-working foot off the ground.
Step 3: Rise onto your toes as high as possible, squeezing your calf.
Step 4: Lower with control, dropping your heel below the step."
EX017,Calf Press,"Step 1: Sit in the leg press machine and place just the balls of your feet on the lower edge of the platform, hip-width apart.
Step 2: Press the platform up and release the safeties.
Step 3: Push the platform away by pointing your toes, pressing through the balls of your feet.
Step 4: Lower the platform by letting your toes come back toward you, stretching your calves."
EX018,Calf Press,"Step 1: Sit in the leg press machine and place just the balls of your feet on the lower edge of the platform, hip-width apart.
Step 2: Press the platform up and release the safeties.
Step 3: Push the platform away by pointing your toes, pressing through the balls of your feet.
Step 4: Lower the platform by letting your toes come back toward you, stretching your calves."
EX019,Bodyweight Calf Raise,"Step 1: Stand on a flat floor or on the edge of a step with heels hanging off for extra range.
Step 2: Stand tall, feet hip-width apart.
Step 3: Rise up onto your toes as high as possible.
Step 4: Lower your heels back down with control."
EX020,Dumbbell Chest Fly,"Step 1: Lie on a flat bench holding a dumbbell in each hand.
Step 2: Arms extended over chest, elbows slightly bent.
Step 3: Lower the dumbbells out to your sides in a wide arc until you feel a stretch in your chest.
Step 4: Bring the dumbbells back together over your chest in the same arc, like you're hugging a large tree."
EX021,Cable Chest Fly,"Step 1: Set both cable pulleys to shoulder height or slightly higher with D-handles.
Step 2: Arms out to your sides with slight elbow bend.
Step 3: Bring your hands together in front of your chest in a hugging motion.
Step 4: Open your arms back out to the sides with control until you feel a stretch."
EX022,Barbell Bench Press,"Step 1: Lie on the bench with eyes under the bar.
Step 2: Unrack the bar with arms locked and position it over your chest.
Step 3: Lower the bar to your mid-chest by bending your elbows at roughly 45 degrees from your body.
Step 4: Press the bar up by driving it toward the ceiling."
EX023,Dumbbell Bench Press,"Step 1: Sit on the bench with dumbbells on your thighs.
Step 2: Lie with feet flat on floor, shoulder blades squeezed together.
Step 3: Lower the dumbbells to the sides of your chest, elbows at roughly 45 degrees from your body.
Step 4: Press the dumbbells up, bringing them slightly together at the top."
EX024,Dumbbell Floor Press,"Step 1: Lie on the floor with knees bent and feet flat.
Step 2: Back flat against the floor, shoulder blades squeezed together.
Step 3: Lower the dumbbells until your upper arms touch the floor.
Step 4: Press the dumbbells up, bringing them together over your chest."
EX025,Cable Chest Press,"Step 1: Set the cable pulleys to chest height with handles attached.
Step 2: Handles at chest level, elbows bent and back.
Step 3: Press the handles forward and together in front of your chest.
Step 4: Let your hands come back to the starting position with control, feeling a stretch across your chest."
EX026,Incline Barbell Bench Press,"Step 1: Set the bench to 30-45 degrees.
Step 2: Unrack with arms locked and position the bar over your upper chest/collarbone area.
Step 3: Lower the bar to your upper chest, just below your collarbone.
Step 4: Press the bar toward the ceiling, driving yourself into the bench."
EX027,Incline Dumbbell Bench Press,"Step 1: Set the bench to 30-45 degrees.
Step 2: Feet flat on floor, shoulder blades squeezed.
Step 3: Lower the dumbbells to the sides of your upper chest, elbows at about 45 degrees.
Step 4: Press the dumbbells up and slightly together over your upper chest."
EX028,Decline Barbell Bench Press,"Step 1: Set the bench to a decline angle.
Step 2: Unrack the bar with arms locked.
Step 3: Lower the bar to your lower chest/upper stomach area.
Step 4: Press the bar toward the ceiling, driving yourself into the bench."
EX029,Decline Dumbbell Bench Press,"Step 1: Set the bench to decline and secure your legs under the pads.
Step 2: Shoulder blades squeezed, dumbbells over your lower chest.
Step 3: Lower the dumbbells to the sides of your lower chest, elbows at about 45 degrees.
Step 4: Press the dumbbells up and slightly together over your lower chest."
EX030,Close Grip Bench Press,"Step 1: Lie on a flat bench with eyes under the bar.
Step 2: Unrack and position the bar over your chest.
Step 3: Lower the bar to your lower chest, keeping elbows tucked at about 30 degrees from your body.
Step 4: Press the bar straight up, driving yourself into the bench."
EX031,Plank,"Step 1: Place your forearms on the floor with elbows directly under your shoulders.
Step 2: Forearms parallel, fists together or palms down.
Step 3: Hold this position for the prescribed time.
Step 4: Lower your knees to the floor to rest when complete."
EX032,Side Plank,"Step 1: Lie on your side with your forearm on the floor, elbow directly under your shoulder.
Step 2: Lift your hips off the floor so your body forms a straight line from head to feet.
Step 3: Hold this position for the prescribed time.
Step 4: Lower your hips to the floor to rest, then switch to the other side."
EX033,Ab Wheel Rollout,"Step 1: Kneel on the floor with an ab wheel in front of you.
Step 2: Arms straight, wheel under shoulders.
Step 3: Roll the wheel forward by extending your arms, keeping your core tight.
Step 4: Pull the wheel back toward your knees by squeezing your abs and pulling your arms back."
EX034,Dead Bug,"Step 1: Lie on your back with arms extended toward the ceiling and knees bent at 90 degrees (tabletop position).
Step 2: Arms pointing up, knees over hips, shins parallel to floor.
Step 3: Slowly extend one arm overhead and the opposite leg out straight, keeping your lower back pressed into the floor.
Step 4: Return your arm and leg to the starting position, then repeat on the opposite side."
EX035,Cable Crunch,"Step 1: Attach a rope to a high cable pulley.
Step 2: Kneel upright with rope held at the back of your head.
Step 3: Crunch down by curling your spine and bringing your elbows toward your knees.
Step 4: Uncurl your spine to return to upright, feeling a stretch in your abs."
EX036,Hanging Knee Raise,"Step 1: Hang from a pull-up bar with hands shoulder-width apart, arms fully extended.
Step 2: Dead hang with legs straight down.
Step 3: Raise your legs in front of you by flexing at the hips.
Step 4: Lower your legs back down with control."
EX037,Russian Twist,"Step 1: Sit on the floor with knees bent and feet flat (or elevated for more challenge).
Step 2: Feet grounded or hovering, torso leaned back with flat back.
Step 3: Rotate your torso to one side, bringing the weight toward the floor beside your hip.
Step 4: Rotate to the other side, moving the weight across your body."
EX038,Cable Wood Chop,"Step 1: Set the cable pulley to high position with a handle.
Step 2: Feet shoulder-width apart, standing perpendicular to the cable.
Step 3: Pull the handle diagonally across your body from high to low, rotating your torso.
Step 4: Return the handle to the starting position with control, resisting the cable."
EX039,Pallof Press,"Step 1: Set a cable pulley to chest height with a D-handle.
Step 2: Handle at your chest, feet shoulder-width apart, perpendicular to the cable.
Step 3: Press the handle straight out in front of your chest, extending your arms.
Step 4: Bring the handle back to your chest with control."
EX040,Dumbbell Farmer's Walk,"Step 1: Pick up a heavy dumbbell in each hand using a deadlift motion.
Step 2: Arms straight, shoulders back and down.
Step 3: Walk forward with controlled, steady steps.
Step 4: Walk for the prescribed distance or time, then carefully lower the weights by hinging at your hips."
EX041,Kettlebell Farmer's Walk,"Step 1: Pick up a kettlebell in each hand using proper deadlift form.
Step 2: Arms straight, shoulders pulled back.
Step 3: Walk forward with controlled steps, keeping your torso upright.
Step 4: Walk for the prescribed distance or time, then lower the kettlebells by hinging at your hips."
EX042,Dumbbell Suitcase Carry,"Step 1: Pick up a single heavy dumbbell or kettlebell in one hand using a deadlift motion.
Step 2: Weight in one hand only, arm straight.
Step 3: Walk forward with controlled steps, keeping your torso upright and resisting the sideways pull.
Step 4: Walk for the prescribed distance or time, then switch hands and repeat."
EX043,Barbell Deadlift,"Step 1: Load the barbell and position it over your mid-foot.
Step 2: Hinge at your hips and grip the bar just outside your legs.
Step 3: Drive the floor away while keeping the bar tight to your body.
Step 4: Push your hips back and hinge forward, keeping the bar close to your legs."
EX044,Kettlebell Deadlift,"Step 1: Place the kettlebell on the floor between your feet.
Step 2: Hinge at your hips and grip the kettlebell handle with both hands.
Step 3: Drive the floor away and stand tall, keeping the kettlebell close to your body.
Step 4: Push your hips back and hinge forward, lowering the kettlebell back between your feet."
EX045,Barbell Romanian Deadlift,"Step 1: Set up in a squat rack with the bar at hip height, or deadlift it from the floor.
Step 2: Feet hip-width apart, slight bend in your knees that stays constant.
Step 3: Push your hips straight back like you're closing a car door behind you.
Step 4: Drive your hips forward to stand tall, squeezing the bar against your legs on the way up."
EX046,Dumbbell Romanian Deadlift,"Step 1: Hold a dumbbell in each hand in front of your thighs, palms facing you.
Step 2: Slight bend in your knees that stays fixed.
Step 3: Push your hips straight back, sliding the dumbbells down the front of your thighs.
Step 4: Drive your hips forward to stand tall, keeping the dumbbells close to your legs."
EX047,Kettlebell Romanian Deadlift,"Step 1: Hold a kettlebell in each hand in front of your thighs, or a single kettlebell with both hands.
Step 2: Slight bend in your knees that stays constant.
Step 3: Push your hips straight back, letting the kettlebells travel down your thighs.
Step 4: Drive your hips forward to stand tall."
EX048,Barbell Landmine Romanian Deadlift,"Step 1: Secure one end of a barbell in a landmine attachment or corner.
Step 2: Stand with feet hip-width apart, slight knee bend.
Step 3: Push your hips back and hinge forward, letting the bar lower toward the floor.
Step 4: Drive your hips forward to stand tall, raising the bar back to hip height."
EX049,Dips,"Step 1: Grip the dip bars and jump or press yourself up to straight arms.
Step 2: Arms locked, shoulders down (not shrugged).
Step 3: Lower yourself by bending your elbows until your upper arms are parallel to the floor or shoulders drop slightly below elbows.
Step 4: Press yourself back up to straight arms."
EX050,Assisted Dips,"Step 1: Set the assisted dip machine with your desired weight.
Step 2: Arms locked, shoulders down.
Step 3: Lower yourself until upper arms are parallel to the floor, bending at the elbows.
Step 4: Press back up to straight arms."
EX051,Bench Dips,"Step 1: Sit on a bench and place your hands on the edge beside your hips.
Step 2: Arms straight, supporting your body.
Step 3: Lower your body by bending your elbows until your upper arms are roughly parallel to the floor.
Step 4: Press back up by extending your arms."
EX052,Face Pull,"Step 1: Set a cable pulley to upper chest or face height with a rope attachment.
Step 2: Arms extended toward the pulley, tension on the cable.
Step 3: Pull the rope toward your face, separating the ends as you pull.
Step 4: Extend your arms back toward the pulley with control."
EX053,Seated Hip Abduction,"Step 1: Sit in the hip abduction machine with your back against the pad.
Step 2: Feet on the footrests, knees behind the pads.
Step 3: Push your knees apart against the pads, spreading them as wide as possible.
Step 4: Bring your knees back together with control, resisting the weight."
EX054,Cable Hip Abduction,"Step 1: Set the cable to the lowest position with an ankle strap.
Step 2: Stand tall on the leg closest to the machine.
Step 3: Kick your working leg straight out to the side, away from the machine.
Step 4: Lower your leg back to the starting position with control."
EX055,Copenhagen Plank (bent knee),"Step 1: Lie on your side with your top leg's inside knee on a bench.
Step 2: Your elbow stays stacked under your shoulder.
Step 3: Lift your hips off the ground by pressing your top knee into the bench and engaging your core and inner thigh.
Step 4: Lower your hips back to the floor with control."
EX056,Copenhagen Plank (straight leg),"Step 1: Lie on your side with your top leg's inside ankle or lower shin on a bench.
Step 2: Top leg is straight, pressing into the bench.
Step 3: Lift your hips by pressing your top leg into the bench and bracing your core.
Step 4: Lower your hips with control."
EX057,Seated Hip Adduction,"Step 1: Sit in the hip adduction machine with your back against the pad.
Step 2: Feet on the footrests, knees outside the pads.
Step 3: Squeeze your knees together against the pads, bringing your thighs as close as possible.
Step 4: Let your knees spread apart with control, resisting the weight."
EX058,Kettlebell Swing,"Step 1: Place the kettlebell about a foot in front of you on the floor.
Step 2: Hinge at your hips and grab the handle with both hands.
Step 3: Hike the kettlebell back between your legs, then explosively drive your hips forward to swing it up to chest height.
Step 4: Let the kettlebell swing back down, hinging at your hips as it passes through."
EX059,Cable Pull Through,"Step 1: Set the cable pulley to the lowest position with a rope attachment.
Step 2: Stand with feet shoulder-width apart, holding the rope between your legs.
Step 3: Drive your hips forward explosively, standing tall.
Step 4: Hinge your hips back, letting the cable pull your hands back through your legs."
EX060,Barbell Hip Thrust,"Step 1: Position a bench against a wall or secure it so it won't slide.
Step 2: Plant your feet flat on the floor about hip-width apart, roughly a shin-length from your glutes.
Step 3: Drive through your heels and squeeze your glutes to lift your hips toward the ceiling.
Step 4: Lower your hips back down with control, keeping tension in your glutes."
EX061,Dumbbell Hip Thrust,"Step 1: Position a bench against a wall.
Step 2: Feet flat on the floor about hip-width apart, shin-length from your glutes.
Step 3: Drive through your heels and squeeze your glutes to lift your hips.
Step 4: Lower your hips with control, keeping tension in your glutes."
EX062,Glute Bridge Hold,"Step 1: Lie on your back with knees bent and feet flat on the floor, about hip-width apart.
Step 2: Arms rest at your sides, palms down.
Step 3: Drive through your heels and squeeze your glutes to lift your hips toward the ceiling.
Step 4: Lower your hips back down with control."
EX063,Single Leg Glute Bridge Hold,"Step 1: Lie on your back with knees bent and feet flat on the floor.
Step 2: Arms rest at your sides, palms down for stability.
Step 3: Drive through your grounded heel to lift your hips until your body forms a straight line.
Step 4: Lower your hips back down with control when the hold is complete."
EX064,Single Leg Glute Bridge,"Step 1: Lie on your back with knees bent and feet flat.
Step 2: Working foot flat on the floor, arms at your sides for stability.
Step 3: Drive through your grounded heel and squeeze your glute to lift your hips.
Step 4: Lower your hips with control, lightly touching the floor before the next rep."
EX065,Cable Kickback,"Step 1: Set the cable pulley to the lowest position.
Step 2: Stand on your free leg with a slight bend in the knee.
Step 3: Keeping your leg straight or with a slight bend, kick your foot straight back behind you.
Step 4: Return your leg to the starting position with control, resisting the cable on the way forward."
EX066,Glute Kickback,"Step 1: Kneel on the glute kickback machine pad with one leg.
Step 2: The working leg starts bent with the plate near your glute.
Step 3: Press the plate back and up by extending your hip, squeezing your glute hard at the top.
Step 4: Lower the plate back to the starting position with control."
EX067,Lying Leg Curl,"Step 1: Lie face down on the leg curl machine.
Step 2: Grip the handles and press your hips firmly into the pad.
Step 3: Curl your heels toward your glutes by bending your knees.
Step 4: Lower the weight slowly by straightening your legs."
EX068,Seated Leg Curl,"Step 1: Sit in the machine with your back against the pad.
Step 2: Legs start extended in front of you.
Step 3: Curl your heels under the seat by bending your knees.
Step 4: Extend your legs back to the starting position with control."
EX069,Lying Leg Curl,"Step 1: Lie face down on the leg curl machine.
Step 2: Grip the handles and press your hips firmly into the pad.
Step 3: Curl your heels toward your glutes by bending your knees.
Step 4: Lower the weight slowly by straightening your legs."
EX070,Seated Leg Curl,"Step 1: Sit in the machine with your back against the pad.
Step 2: Legs start extended in front of you.
Step 3: Curl your heels under the seat by bending your knees.
Step 4: Extend your legs back to the starting position with control."
EX071,Leg Extension,"Step 1: Adjust the seat so your knees align with the machine's pivot point.
Step 2: Sit with your back flat against the pad and grip the side handles.
Step 3: Extend your legs by kicking the pad up toward the ceiling.
Step 4: Lower the weight slowly by bending your knees back to the starting position."
EX072,Leg Extension,"Step 1: Adjust the seat so your knees align with the machine's pivot point.
Step 2: Sit with your back flat against the pad and grip the side handles.
Step 3: Extend your legs by kicking the pad up toward the ceiling.
Step 4: Lower the weight slowly by bending your knees back to the starting position."
EX073,Leg Press,"Step 1: Sit in the leg press machine and place your feet shoulder-width apart on the platform, positioned in the middle of the footplate.
Step 2: Press the platform to release the safety handles, then unlock and move them aside.
Step 3: Lower the platform by bending your knees, bringing them toward your chest.
Step 4: Push the platform away by driving through your whole foot."
EX074,Leg Press,"Step 1: Sit in the leg press machine and place your feet shoulder-width apart on the platform, positioned in the middle of the footplate.
Step 2: Press the platform to release the safety handles, then unlock and move them aside.
Step 3: Lower the platform by bending your knees, bringing them toward your chest.
Step 4: Push the platform away by driving through your whole foot."
EX075,Hack Squat,"Step 1: Position yourself in the hack squat machine with your back flat against the pad and shoulders under the shoulder pads.
Step 2: Release the safety handles and extend your legs to support the weight.
Step 3: Lower the weight by bending your knees, keeping your back flat against the pad.
Step 4: Drive through your feet to push the platform away."
EX076,Barbell Walking Lunge,"Step 1: Set up in a squat rack with the bar across your upper traps, gripping slightly wider than shoulder-width.
Step 2: Stand tall with feet together, bar secure on your back.
Step 3: Take a large step forward and lower your back knee toward the floor.
Step 4: Continue walking forward, alternating legs with each step."
EX077,Dumbbell Walking Lunge,"Step 1: Hold a dumbbell in each hand at your sides with arms straight.
Step 2: Feet together, chest tall, core braced.
Step 3: Step forward into a lunge, lowering your back knee toward the floor.
Step 4: Continue alternating legs as you walk forward."
EX078,Kettlebell Walking Lunge,"Step 1: Hold a kettlebell in each hand at your sides, or hold one kettlebell in the goblet position at your chest.
Step 2: Feet together, stand tall with core braced.
Step 3: Step forward and lower your back knee toward the floor.
Step 4: Continue walking forward, alternating legs."
EX079,Dumbbell Reverse Lunge,"Step 1: Stand tall holding a dumbbell in each hand at your sides.
Step 2: Eyes forward, chest proud.
Step 3: Step one foot back and lower your back knee toward the floor.
Step 4: Drive through your front foot to stand and bring your back foot to meet the front."
EX080,Kettlebell Reverse Lunge,"Step 1: Stand tall holding a kettlebell in each hand at your sides, or one kettlebell in the goblet position.
Step 2: Core braced, chest up, eyes forward.
Step 3: Step one foot back and lower your back knee toward the floor.
Step 4: Push through your front foot to return to standing."
EX081,Elevated Dumbbell Reverse Lunge,"Step 1: Stand on a low platform or step (4-6 inches) holding dumbbells at your sides.
Step 2: Feet together on the platform, core braced, chest tall.
Step 3: Step one foot back off the platform and lower until your back knee nearly touches the floor.
Step 4: Drive through your front foot to return to standing on the platform."
EX082,Elevated Kettlebell Reverse Lunge,"Step 1: Stand on a low platform holding kettlebells at your sides or one kettlebell at your chest.
Step 2: Feet together on the platform, chest tall, core braced.
Step 3: Step one foot back off the platform and lower your back knee toward the floor.
Step 4: Push through your front foot to return to the platform."
EX083,Push Up,"Step 1: Place your hands on the floor slightly wider than shoulder-width.
Step 2: Arms straight, core braced, glutes squeezed.
Step 3: Lower your chest toward the floor by bending your elbows at about 45 degrees from your body.
Step 4: Push the floor away to return to the start."
EX084,Incline Push Up,"Step 1: Place your hands on an elevated surface (bench, box, bar) slightly wider than shoulder-width.
Step 2: Arms straight, body rigid from head to heels.
Step 3: Lower your chest toward the elevated surface by bending your elbows at about 45 degrees.
Step 4: Push yourself away from the surface, keeping your body straight."
EX085,Decline Push Up,"Step 1: Place your feet on an elevated surface (bench, box, step) and hands on the floor shoulder-width apart.
Step 2: Arms straight, core braced, body rigid from head to heels.
Step 3: Lower your chest toward the floor by bending your elbows at about 45 degrees.
Step 4: Push the floor away to rise back up, keeping your body straight throughout."
EX086,Pike Push Up,"Step 1: Start in a push-up position, then walk your hands back and push your hips up high.
Step 2: Head between your arms looking at your feet.
Step 3: Bend your elbows to lower the top of your head toward the floor between your hands.
Step 4: Push back up to the starting V position."
EX087,Diamond Push Up,"Step 1: Start in a push-up position with your hands close together, forming a diamond shape with your index fingers and thumbs touching.
Step 2: Arms extended, hands under your chest in the diamond shape.
Step 3: Lower your chest toward your hands by bending your elbows, which will flare slightly.
Step 4: Push the floor away to return to start."
EX088,Rear Delt Fly,"Step 1: Hold a dumbbell in each hand.
Step 2: Slight bend in knees, back flat, core braced.
Step 3: Raise the dumbbells out to your sides by squeezing your rear shoulders together.
Step 4: Lower the dumbbells back down with control."
EX089,Rear Delt Fly,"Step 1: Hold a dumbbell in each hand.
Step 2: Slight bend in knees, back flat, core braced.
Step 3: Raise the dumbbells out to your sides by squeezing your rear shoulders together.
Step 4: Lower the dumbbells back down with control."
EX090,Barbell Bent Over Row,"Step 1: Hold a barbell with hands slightly wider than shoulder-width.
Step 2: Bar hangs at arm's length below your shoulders.
Step 3: Pull the bar toward your lower ribcage by driving your elbows back.
Step 4: Lower the bar with control back to arm's length."
EX091,Dumbbell Bent Over Row,"Step 1: Hold a dumbbell in each hand.
Step 2: Palms face each other, slight knee bend, back flat.
Step 3: Row both dumbbells to your lower ribs by driving your elbows back and squeezing your shoulder blades together.
Step 4: Lower the dumbbells back to arm's length with control."
EX092,Kettlebell Bent Over Row,"Step 1: Hold a kettlebell in each hand.
Step 2: Back flat, knees slightly bent, core braced.
Step 3: Row the kettlebells to your lower ribs by driving your elbows back.
Step 4: Lower the kettlebells with control back to arm's length."
EX093,Seated Cable Row,"Step 1: Sit at the cable row station with feet on the footplates, knees slightly bent.
Step 2: Arms straight, shoulders reaching forward slightly to stretch your lats.
Step 3: Pull the handle toward your lower ribcage, driving your elbows back.
Step 4: Extend your arms forward with control, letting your shoulders reach slightly forward for a stretch."
EX094,Inverted Row,"Step 1: Set a barbell in a rack at about waist height.
Step 2: Hang below the bar with heels on the floor.
Step 3: Pull your chest to the bar by squeezing your shoulder blades together and driving your elbows back.
Step 4: Lower yourself with control until arms are fully extended."
EX095,Single Arm Dumbbell Row,"Step 1: Place one knee and same-side hand on a flat bench for support.
Step 2: Back flat and parallel to the floor.
Step 3: Row the dumbbell to your lower rib/hip area by driving your elbow toward the ceiling.
Step 4: Lower the dumbbell back to arm's length with control."
EX096,Chest Supported Dumbbell Row,"Step 1: Lie face down on an incline bench set to about 30-45 degrees.
Step 2: Chest on pad, chin over the top of the bench.
Step 3: Row both dumbbells up toward your lower ribs, squeezing your shoulder blades together.
Step 4: Lower the dumbbells back to arm's length with control."
EX097,T-Bar Row,"Step 1: Load a T-bar row machine or landmine barbell.
Step 2: Bent over at about 45 degrees, arms extended, back flat.
Step 3: Row the bar up toward your chest, driving your elbows back.
Step 4: Lower the weight with control until arms are extended."
EX098,Pendlay Row,"Step 1: Stand over a barbell on the floor with feet hip-width apart.
Step 2: Back flat and parallel to floor, arms hanging straight.
Step 3: Row the bar explosively from the floor to your lower chest, then lower it back to the floor.
Step 4: Touch the bar to floor and reset briefly before the next rep."
EX099,Cable Upright Row,"Step 1: Set the cable pulley to the lowest position with a straight bar.
Step 2: Arms extended toward the low pulley, bar against your thighs.
Step 3: Pull the bar up along your body toward your chin, leading with your elbows.
Step 4: Lower the bar back down with control."
EX100,Dumbbell Upright Row,"Step 1: Stand holding a dumbbell in each hand in front of your thighs.
Step 2: Stand tall with feet shoulder-width apart.
Step 3: Pull the dumbbells up along your body, leading with your elbows.
Step 4: Lower the dumbbells back to your thighs with control."
EX101,Barbell Overhead Press,"Step 1: Set the bar in a rack at upper chest height.
Step 2: Feet shoulder-width apart, bar on front delts and upper chest.
Step 3: Press the bar straight up, moving your head back slightly to let it pass.
Step 4: Lower the bar with control back to your front shoulders."
EX102,Seated Dumbbell Overhead Press,"Step 1: Sit on a bench with back support, or stand with feet shoulder-width apart.
Step 2: Dumbbells at shoulder level, elbows below and slightly in front of wrists.
Step 3: Press the dumbbells up and slightly together overhead.
Step 4: Lower the dumbbells back to shoulder height with control."
EX103,Kettlebell Overhead Press,"Step 1: Clean a kettlebell to the rack position at your shoulder—bell resting on the outside of your forearm, elbow tucked to your ribs.
Step 2: Kettlebell secure in the rack, wrist straight.
Step 3: Press the kettlebell straight up, rotating your palm to face forward at the top.
Step 4: Lower the kettlebell back to the rack position with control, rotating your palm back to face you."
EX104,Landmine Press,"Step 1: Secure one end of a barbell in a landmine attachment or corner.
Step 2: Bar at shoulder level, elbow tucked.
Step 3: Press the bar up and forward in an arc until your arm is fully extended.
Step 4: Lower the bar back to shoulder height with control."
EX105,Seated Arnold Press,"Step 1: Sit on a bench with back support.
Step 2: Dumbbells at shoulder height, palms toward your face, elbows in front.
Step 3: Press the dumbbells up while rotating your palms to face forward.
Step 4: Lower the dumbbells while rotating your palms back toward your face, returning to the starting position."
EX106,Dumbbell Lateral Raise,"Step 1: Stand with feet shoulder-width apart holding a dumbbell in each hand at your sides.
Step 2: Slight bend in your elbows that stays constant throughout.
Step 3: Raise the dumbbells out to your sides until your arms are parallel to the floor.
Step 4: Lower the dumbbells back to your sides with control."
EX107,Cable Lateral Raise,"Step 1: Set the cable pulley to the lowest position.
Step 2: Arm at your side with slight elbow bend.
Step 3: Raise your arm out to the side until it's parallel to the floor.
Step 4: Lower your arm back to your side with control, resisting the cable."
EX108,Barbell Front Raise,"Step 1: Stand holding a barbell with an overhand grip at shoulder width or slightly narrower.
Step 2: Stand tall, core braced, slight bend in elbows that stays constant.
Step 3: Raise the bar in front of you until arms are parallel to the floor (shoulder height).
Step 4: Lower the bar back to your thighs with control."
EX109,Dumbbell Front Raise,"Step 1: Stand holding a dumbbell in each hand in front of your thighs.
Step 2: Stand tall, core braced, slight bend in elbows.
Step 3: Raise one or both dumbbells in front of you to shoulder height.
Step 4: Lower the dumbbell(s) back to your thighs with control."
EX110,Dumbbell Shrug,"Step 1: Stand holding a dumbbell in each hand at your sides, arms straight, palms facing your body.
Step 2: Arms hang naturally, shoulders in neutral position.
Step 3: Shrug your shoulders straight up toward your ears as high as possible.
Step 4: Lower your shoulders back down with control to neutral."
