equipment_id,category,name,image_filename,description
EP043,Bodyweight,Bodyweight,,No equipment needed. Uses your own body weight as resistance for exercises like push-ups pull-ups and squats.
EP044,Other,Flat Bench,00013101-Bench_equipment_max.png,A simple sturdy flat bench used for dumbbell presses step-ups and as a platform for various exercises.
EP045,Other,Pull-Up Bar,00013101-Fixed-Bar_max.png,A fixed overhead bar for pull-ups chin-ups and hanging exercises targeting the back and biceps.
EP046,Other,Dip Station,00013101-Dip-Cage_equipment_max.png,Parallel bars at waist height for dip exercises targeting the chest triceps and shoulders.
EP047,Other,Roman Chair,00013101-Bench-Hyperextension_equipment_max.png,An angled pad for back extensions and glute-ham raises strengthening the posterior chain.
EP048,Other,Ab Wheel,00013101-Ab-Roller_equipment_max.png,A small wheel with handles that rolls along the floor for intense abdominal and core strengthening exercises.
EP049,Other,Captains Chair,00013101-Dip-Machine_max.png,A frame with padded arm rests for hanging leg raises and knee raises targeting the abdominals.
EP050,Other,Decline Core Bench,00013101-Bench-Decline_equipment_max.png,A declined bench for sit-ups and core exercises providing increased range of motion and resistance through gravity.
EP051,Attachment,Straight Bar,00013101-Cable-Machine-Attachment-Cable-Bar_equipment_max.png,A straight metal bar that attaches to cable machines for pulldowns rows curls and pressdowns.
EP052,Attachment,Rope,00013101-Cable-Machine-Attachment-Rope_equipment_max.png,A braided rope attachment with knotted ends for cable exercises like tricep pushdowns and face pulls.
EP053,Attachment,D-Handles,00013101-Cable-Machine-Attachment-Handle_equipment_max.png,Single-grip handles that attach to cables allowing unilateral movements like single-arm rows and flyes.
EP054,Attachment,EZ-Bar,00013101-EZ-Bar_equipment_max.png,A W-shaped free weight bar that reduces wrist strain during bicep curls and tricep exercises.
EP055,Attachment,EZ-Bar Cable,00013101-Cable-Machine-Attachment-SZ-Bar_equipment_max.png,A W-shaped bar attachment for cable machines combining the ergonomic grip with constant cable tension.
EP056,Attachment,Ankle Strap,00013101-Ankle-Strap_max.png,A padded strap that wraps around the ankle connecting to a cable for leg exercises like kickbacks and hip abductions.
EP057,Attachment,Resistance Band,00013101-Resistance-Band_max.png,Elastic bands providing variable resistance for warm-ups mobility work and assisted or resisted exercises.
EP058,Attachment,Weight Belt,00013101-Weight-Belt_max.png,A belt with a chain for adding weight plates to bodyweight exercises like pull-ups and dips.
EP059,Attachment,Close Grip,00013101-Cable-Machine-Attachment-Double-Handle_equipment_max.png,A narrow double-handle attachment for close-grip cable rows and pulldowns emphasizing the inner back muscles.
EP060,Attachment,Neutral Grip,00013101-Cable-Machine-Attachment-Revolving-Multi-Exercise-Bar_equipment_max.png,A multi-grip bar attachment with parallel handles for neutral-grip pulldowns and rows reducing shoulder stress.
EP061,Attachment,Wide Bar,00013101-Cable-Machine-Attachment-Lat-Bar_equipment_max.png,A wide lat pulldown bar for wide-grip cable exercises targeting the outer lats and upper back.
